Element,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Isotopes,27Al,46Ti,48Ti,56Fe,89Y,90Zr,139La,140Ce,165Ho,177Hf+178Hf+179Hf+180Hf,206Pb+207Pb+208Pb,232Th,238U
Sensitivity (TofCts/g),8.93E+15,3.99E+15,5.39E+16,1.17E+17,3.01E+17,1.70E+17,5.47E+17,5.35E+17,2.76E+17,2.67E+17,3.00E+17,2.55E+17,2.83E+17
MedianSignal (TofCts),1.19E+01,1.58E+01,9.39E+00,4.53E+01,1.30E+01,4.74E+01,1.35E+01,1.47E+01,8.90E+00,1.30E+01,1.07E+01,1.27E+01,9.68E+00
Avg Lc (TofCts),7.25,12.07,7.62,15.83,5.87,4.75,5.75,6.04,5.17,4.42,6.2,3.7,4.03
Avg Bkgd (TofCts),0.125,0.996,0.058,4.812,0.163,0.126,0.148,0.196,0.024,0.03,0.157,0.028,0.023
DynamicAlpha,1.00E-06,1.00E-07,1.00E-07,1.00E-05,3.20E-06,3.20E-05,3.20E-06,3.20E-06,3.20E-07,3.20E-06,3.20E-07,1.00E-05,3.20E-06
Filename,01h07m35s_Zr_Hark_2kx.h5,,,,,,,,,,,,
spTime (s),120.226,,,,,,,,,,,,
qPlasma (mL/s),0.000063,,,,,,,,,,,,
,,,,,,,,,,,,,
Particle Signals (TofCts),,,,,,,,,,,,,
Comp,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Fe+Zr+Th,0,0,0,31.827,0,85.618,0,0,0,0,0,21.595,0
Al+Zr+Hf+Th,10.739,0,0,0,0,189.25,0,0,0,4.43,0,17.486,0
Fe+Y+Ce+Hf+Th,0,0,0,141.725,15.111,0,0,10.187,0,4.451,0,63.619,0
Fe+Zr+Th,0,0,0,34.324,0,20.116,0,0,0,0,0,10.571,0
Zr+Th,0,0,0,0,0,5.832,0,0,0,0,0,11.824,0
Y+Zr+Hf,0,0,0,0,6.912,3004.469,0,0,0,60.442,0,0,0
Zr,0,0,0,0,0,147.48,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,28.907,0,6.392,0,0,0,0,0,13.251,0
Ce,0,0,0,0,0,0,0,41.306,0,0,0,0,0
Fe+Zr,0,0,0,17.172,0,18.155,0,0,0,0,0,0,0
Zr,0,0,0,0,0,165.011,0,0,0,0,0,0,0
Fe+Zr+Th,0,0,0,45.738,0,27.542,0,0,0,0,0,4.095,0
Fe+Zr+Th,0,0,0,38.624,0,4.8,0,0,0,0,0,10.292,0
La+Ce,0,0,0,0,0,0,10.718,29.636,0,0,0,0,0
Fe+Zr+Hf+Th,0,0,0,68.255,0,504.418,0,0,0,13.381,0,19.396,0
Zr+Th,0,0,0,0,0,14.04,0,0,0,0,0,9.947,0
Zr+Th,0,0,0,0,0,36.38,0,0,0,0,0,16.091,0
Fe+Zr+Ce+Th,0,0,0,20.351,0,81.38,0,6.331,0,0,0,71.682,0
Fe+Zr+Th,0,0,0,102.797,0,50.714,0,0,0,0,0,28.695,0
Fe+Zr+Th,0,0,0,18.842,0,11.68,0,0,0,0,0,9.13,0
Zr+Hf+Th,0,0,0,0,0,640.848,0,0,0,9.813,0,6.643,0
Fe+Zr+La+Ce+Th,0,0,0,84.256,0,392.422,12.192,12.72,0,0,0,23.812,0
Fe+Zr+Th,0,0,0,75.098,0,4.93,0,0,0,0,0,9.656,0
Fe+Y+Zr+La+Ce+Ho+Th+U,0,0,0,23.107,877.35,40.314,271.205,480.237,47.884,0,0,778.991,17.864
Zr+Hf+Th,0,0,0,0,0,200.604,0,0,0,5.693,0,22.106,0
Zr+Th,0,0,0,0,0,8.592,0,0,0,0,0,7.487,0
Al+Fe+Y+Zr+La+Ce+Hf+Th,65.334,0,0,2063.943,16.801,300.336,25.089,38.734,0,6.755,0,93.916,0
Zr,0,0,0,0,0,15.311,0,0,0,0,0,0,0
Fe+Y+Zr+Ce+Th,0,0,0,80.51,10.947,139.853,0,7.688,0,0,0,25.481,0
Zr,0,0,0,0,0,25.618,0,0,0,0,0,0,0
Fe+Y+Zr+La+Ce+Hf+Th,0,0,0,149.326,8.172,985.821,7.206,16.449,0,6.786,0,26.332,0
Zr,0,0,0,0,0,5.131,0,0,0,0,0,0,0
Zr,0,0,0,0,0,5.551,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,34.912,0,0,0,0,0,3.962,0
Zr+Th,0,0,0,0,0,4.991,0,0,0,0,0,3.842,0
Zr+Th,0,0,0,0,0,60.417,0,0,0,0,0,5.15,0
Fe+Zr+Hf+Th,0,0,0,76.672,0,1469.677,0,0,0,7.903,0,17.634,0
Zr,0,0,0,0,0,15.297,0,0,0,0,0,0,0
Fe+Zr+Hf+Th,0,0,0,23.656,0,381.692,0,0,0,7.159,0,11.549,0
46Ti,0,18.861,0,0,0,0,0,0,0,0,0,0,0
Zr+Th,0,0,0,0,0,5.732,0,0,0,0,0,14.703,0
Fe+Zr+Th,0,0,0,21.03,0,14.812,0,0,0,0,0,27.432,0
Fe,0,0,0,18.243,0,0,0,0,0,0,0,0,0
Fe+Y+Zr+La+Ce+Hf+Th,0,0,0,92.721,7.977,989.331,16.995,11.613,0,22.495,0,75.715,0
Zr+Hf,0,0,0,0,0,422.636,0,0,0,6.664,0,0,0
Fe+Zr+Th,0,0,0,23.004,0,69.913,0,0,0,0,0,28.076,0
Fe+Zr+Th,0,0,0,17.504,0,9.412,0,0,0,0,0,8.578,0
46Ti,0,14.503,0,0,0,0,0,0,0,0,0,0,0
